,topic,keyword,utterances_text
1536,경제 및 사회,화장품,"화장품을 선택할 때 어떤 걸 중요하게 생각해?
성분이 제일 중요해! 화학성분은 피부에 안 좋아
맞아 화학성분 대신 자연성분이 들어간 화장품을 찾는 게 좋겠다
그래서 화장품 고르는데 어떤 걸 보고 고르니?
원료가 중요해! 한방 성분이 들어간 화장품이 좋아
한방 성분이 피부 재생에도 도움을 준다고 들었어
맞아 피부 재생과 피부장벽 강화에 효과가 있대
화장품 고르는데 어떤 브랜드가 좋아?
하늘호수라는 브랜드가 굿굿! 한방 성분을 사용해서 만들어
하늘호수라는 브랜드 어디에 있어?
경상북도 경산시와 거창군에 매장이 있어
그러면 가보고 싶은데 영업시간은 ㅇㄸ?
팔공산점은 11시부터 7시까지, 거창공장은 9시부터 6시까지야
팔공산점은 명절 당일에는 휴무인가봐
맞아 명절 당일은 가지 말고 사전에 예약해야 해
ㅇㅇ 한 번 가서 화장품 체험해봐야겠다"
1676,경제 및 사회,화장품,"화장품 리스크가 너무 심해
짜짜? 어떤 리스크야?
중국 시장에서 위조품이 많이 팔려
그래? 그러면 어떻게 대응해?
온라인 모니터링과 샘플링을 강화해야 해
글쿠나. 그 외에 뭐가 필요해?
중국 외에도 제3국 시장에도 주목해야 해
그래서 어떻게 해야 해?
온라인 플랫폼과 3선 이하 도시에 주목해야 해
글쿠나. 중국 정부는 뭘 하고 있어?
중국 정부도 온라인 플랫폼 운영자의 보호를 강화하고 있대
그래서 화장품 리스크가 줄어들 것 같아?
그럴지는 모르겠지만 노력은 해야지
맞아. 소비자들이 안전한 제품을 쓸 수 있도록 해야 해
그래. 소비자의 안전이 제일 중요하니까
맞아. 화장품 업계도 더 신경 써야겠다"
2426,경제 및 사회,마켓 컬리 유료 멤버쉽 '컬리멤버스' 출시,"요즘 쇼핑몰마다 무슨 유료 멤버쉽으로 전환되는거 같아ㅠㅠ. 가뜩이나 어려운데ㅠㅠ
마켓컬리는 유료멤버쉽 하는게 오히려 더 핵이득이야ㅋㅋ
어케 돈 내고 사용하는데 이득일수가 있어?ㅠㅠ
레알이야!ㅋㅋ 마켓컬리 유료멤버쉽은 매달 1900원인데 매월 적립급으로 2000원을 지급하거든ㅋㅋ
대박ㅋㅋ. 그럼 공짜로 쓰고도 100원을 더 받는거야?
그뿐만이 아니라 할인쿠폰팩 최대 24000원, 구매적립금 7%, 커피빈 쿠폰, CU도 10%할인 있다고ㅋㅋ
혜택이 너무 후한거 아니야?ㅋㅋ 다 받아도 되는거임?ㅋㅋ
여기서 끝이 아니라 컬리멤버스 전용상품과 단독특가도 누릴 수 있단다ㅋㅋ
장난아니다!ㅋㅋ 진짜로 네말대로 유료멤버쉽 가입하는게 오히려 이득이네?ㅋㅋ
8월에 가입하면 첫달은 무료이고 정기결제 등록시에는 추가 5개월 무료란다ㅋㅋ
이거 말로만 유료멤버쉽이지 그냥 혜택 줄테니 받아가세요인데?ㅋㅋ
나도 이거 엄청 유용하게 잘쓰고 있어ㅋㅋ. 월 1회이상 마켓컬리를 이용하기만해도 손해는 없는거지ㅋㅋ
나거의 1주일에 2번은 새벽배송 시키니까 멤버쉽 가입해야되겠다ㅋㅋ
할인폭이 짜짜로 크지 않아?ㅋㅋ구독료대비 알찬혜택이라서 너무 좋은거 같음ㅋㅋ
마켓컬리를 자주 이용하는 편이긴한데ㅋㅋ. 멤버쉽 가입하고 더 할인받을 수 있으니 전보다 더 많이 이용할듯ㅋㅋ
얼른 가입해서 마켓컬리 유료멤버쉽 혜택을 빵빵하게 즐기렴ㅋㅋ"
3240,경제 및 사회,반도체,"반도체가 렬루다가 레전드다.
응, 반도체 기술은 많이 발전했어.
한국 반도체는 세계적으로 유명하다.
ㅇㅋㅇㅋ 삼성이 메모리 반도체에서 선두를 달리고 있잖아.
메모리 반도체 외에도 다른 종류의 반도체도 있지?
응, CPU나 시스템 반도체도 있어.
그런데 중국도 반도체 분야에 투자를 많이 하고 있지.
맞아 중국이 한국을 따라잡기 위해 노력하고 있어.
하지만 제조 장비 문제도 있어서 어렵다고 들었어.
마좌 반도체 제조에는 막대한 자금이 필요하거든.
그래서 아무나 들어오기 힘든 영역이라는 거지?
그렇지, 경쟁이 치열하다고 할 수 있겠어.
시스템 반도체는 미국이 시장을 선도하고 있어?
응, 삼성이 조금이나마 시장을 가져가기 위해 노력하고 있어.
반도체 기술은 미래 산업의 중요한 부분이야.
맞아 계속해서 발전해나가야 할 분야야."
2136,경제 및 사회,삼성전자,"삼성전자 실적 대박!
레알? 얼마나 벌었어?
1분기에 55조3300억원 벌었대!
와 대박이네 ㅋㅋ
그래도 2분기는 예상대로 실적이 하락할 것 같아
코로나 때문에 그럴 수도 있겠다
그래도 삼성전자는 세트 사업에서도 어려움을 겪을 것 같아
세트 사업이란게 뭐임?
세트 사업은 TV나 냉장고 같은 가전제품을 말해
아 그런 거구나
그래서 하반기에도 불확실성이 많을 거 같아
삼성전자는 경쟁력을 제고해야겠다
맞아. 그리고 미래를 위해 R&D 투자도 중요하다고 해
미래를 위한 준비를 해야지
그래. 삼성전자 힘!
화이팅이다!"
1624,경제 및 사회,화장품,"화장품 업계 실적이 어떨까?
2분기에는 불확실성이 커져서 기대와 우려가 공존하고 있어.
그래도 좋은 실적을 기대할 수 있는 업체도 있을 거야.
예측에 따르면 중국 매출 비중이 높은 업체들은 부진할 것 같아.
근데 펌텍코리아는 중국 매출 비중이 작아서 불확실성에서 빗겨나 있을 거야.
글쿠나. 그러면 LG생활건강은 ㅇㄸ?
LG생활건강은 화장품 매출이 컴팩트 정도에 국한돼 있어서 거의 영향이 없을 거야.
화장품 대기업의 시장 지배력이 약화되고 있는 것 같아.
맞아. 중견·인디브랜드들의 발주가 늘어나고 있고, 스틱형 제품 매출도 다시 증가하고 있어.
펌텍코리아는 해외 매출도 상승한 것 같아.
맞아. 일본에서 쿠션 매출이 호조를 보이고 있고, HCT와 신규 계약 체결 효과도 기대돼.
화장품 업계가 꽤 변화하고 있는 거네.
그래. 특히 대기업들의 시장 지배력이 약해지고 중견·인디브랜드들이 더 주목받고 있어.
화장품 업계는 계속해서 변화할 것 같아.
맞아. 소비자들의 선호도도 계속 변하니까 맞춰서 변화해야 해.
화장품 업계는 항상 새로운 도전이 필요한 분야야."
2951,경제 및 사회,ESG,"대박! SK텔레콤과 카카오가 ESG 펀드를 공동 조성했대!
짜짜? ESG 펀드가 머임?
ESG는 '환경,사회,지배구조'를 뜻해. 기업의 지속 가능한 성장을 돕는 펀드래.
와우내 그럼 SK텔레콤과 카카오가 200억원의 ESG 펀드를 출범하고 추가로 투자자를 유치해 규모를 확대한다는 거지?
ㅇㅇ 250억원 이상으로 확대할 거래.
이번에는 국내 빅테크 기업이 함께 ESG 펀드를 조성한 첫 사례래.
SK텔레콤과 카카오는 ESG 펀드를 통해 ESG 혁신기업을 육성하고 선한 영향력을 미치는 거래.
ESG 펀드의 투자 대상은 어떤 기업들이 될 거야?
ICT, 융복합 산업 분야의 혁신 기술을 보유하면서도 우수한 ESG 경영환경을 갖춘 기업들이 대상이 될 거래.
그러면 ESG 펀드를 통해 기업들이 성장하고 우리 사회에 선한 영향력을 행사하는 거지?
마좌 선순환 구조를 만드는 거래.
SK텔레콤과 카카오는 3월에도 ESG, AI, 지식재산권 분야에서 협력했대.
와 그렇게 다양한 분야에서 협력하는 거야?
ㅇㅋㅇㅋ 그렇게 다양한 분야에서 협력하면 더 많은 성과를 얻을 수 있을 거 같아.
SK텔레콤과 카카오는 ESG 혁신기업을 육성하는 마중물로 ESG 펀드를 적극 활용한다고 해.
ESG 혁신기업들이 많이 성장하면 좋겠다.
웅웅 그러면 우리 사회에도 선한 영향력을 미칠 수 있을 텐데.
ESG 펀드는 중소, 벤처기업의 지속 가능한 성장을 돕는 거래.
그렇게 중소, 벤처기업들도 성장할 수 있으면 좋겠다.
맞아 다양한 기업들이 함께 성장하면 경제에도 좋을 거야.
SK텔레콤과 카카오는 ESG, AI, 지식재산권 분야에서 주요 자산을 우리 사회와 나누는 데 뜻을 같이하는 MOU를 체결했대.
그렇게 다양한 분야에서 협력하면 더 많은 성과를 얻을 수 있을 거 같아.
맞아 그렇게 함께 협력하면 더 많은 혁신을 이뤄낼 수 있을 거야.
SK텔레콤과 카카오의 ESG 펀드가 성공적으로 운영되면 좋겠다."
2186,경제 및 사회,삼성전자,"삼성전자 개소식 대박이다 ㅋㅋ
그래! 경북에 삼성전자 C랩 아웃사이드 개최했대
경북도랑 삼성전자가 협력해서 스타트업 육성 프로그램을 만들었대
와 대구, 광주에 이어서 경북에도 도입했네
지역내 창업 생태계 확대를 가속화하려는 거겠지
맞아! 지역경제 활성화와 일자리 창출을 목표로 하고 있대
삼성전자의 지원을 받은 기업들은 많은 성과를 냈나봐
매출 3,000억원, 투자 유치 1,400억원, 신규 고용 1,700명이라고 하더라
그리고 CES에서도 9개의 혁신상을 수상했대
와 레알루다가 레게노다! 경북도에 좋은 영향을 줄 것 같아
지역 균형 발전에도 기여할 수 있을 거야
삼성전자는 창업 생태계의 수도권 쏠림 문제도 해결하려고 노력하고 있대
경북창조경제혁신센터와 협력해서 우수한 경북 스타트업을 발굴하고 육성했다고 하더라
그래서 경북에 C랩 아웃사이드를 만들었구나
맞아! 경북도가 삼성전자의 외부 스타트업 육성 프로그램을 유치하기 위해 노력하고 있대
경북도와 삼성전자의 계획이 성공하면 경산시에 핵심 거점이 생길 거야
그러면 경산시의 스타트업들이 글로벌 기업으로 도약할 수 있을 것 같아
그래! 경산시 소재 영남대학교 내에 신규 조성한 공간이 C랩 아웃사이드 경북이래
C랩 아웃사이드 경북을 활용해서 지역 스타트업들이 성장할 수 있겠다
삼성전자의 지원으로 경산시의 창업 생태계가 더욱 활성화될 거야
그렇게 되면 경산시의 경제도 발전할 수 있을 거야
삼성전자는 레알루다가 경제 활성화에 큰 기여를 하고 있네
그래! 삼성전자의 노력에 박수를 보내야지
삼성전자가 계속해서 스타트업 육성을 지원해줬으면 좋겠다"
2191,경제 및 사회,삼성전자,"삼성전자 인사 실시했대
승진 인원이 많네 ㅋㅋ
삼성전자는 리더십 보강을 위해 인사를 했다고 해
성과주의 원칙하에 승진 인사를 했다고 하더라
미래 성장을 위해서구나
부사장 68명, 상무 113명, 펠로우 1명, 마스터 16명이 승진했대
부사장이 제일 많이 승진했네
펠로우와 마스터는 뭐하는 사람들이지?
펠로우는 연구원들 중에서 우수한 사람이고, 마스터는 전문가들 중에서 우수한 사람이래
펠로우는 한 명밖에 없네
마스터도 16명이면 적은 편인가?
마스터는 삼성전자에서 최고 수준의 전문가들이래
마스터가 되려면 어떤 조건이 필요한 거야?
그건 잘 모르겠네 ㅋㅋ
마스터가 되기 위해서는 뛰어난 업적과 기술력이 필요하다고 해
그럼 펠로우랑 마스터는 어떤 차이가 있어?
펠로우는 연구원 중에서 우수한 사람이고, 마스터는 전문가 중에서 우수한 사람이라고 했잖아
맞아 펠로우는 연구 분야에서 뛰어난 사람들이고, 마스터는 기술 분야에서 뛰어난 사람들이래
그럼 펠로우랑 마스터는 같은 수준이 아니야?
아마도 펠로우는 마스터보다 조금 더 낮은 수준인 것 같아
마좌 펠로우는 마스터보다는 조금 덜 우수한 사람들이지
삼성전자는 계속해서 성장할 거야
삼성전자가 성장하면 우리나라 경제도 좋아지겠다
맞아 삼성전자의 성장은 우리 경제에 큰 도움이 될 거야"
1911,경제 및 사회,부동산,"부동산시장이 안정세를 유지하고 있다고 해.
그래? 그럼 집값은 오르지 않을까?
홍남기 경제부총리가 최근 상승세로 전환되는 지역도 있다고 했어.
서울 강남 4구에서는 매매가격과 수급 지수가 반등했대.
그렇다면 규제 완화로 집값이 더 오를 수도 있겠네.
하지만 부동산시장은 다양한 요인들이 작용하는 복합한 시장이야.
그래서 시장 절대안정이 중요하다고 하더라.
오늘은 부동산시장에 대해 이야기하고 있네.
마좌 최근 부동산시장을 점검하는 회의도 있었어.
부동산 정책을 종합 점검하는 시간이었나봐.
부동산시장은 항상 관심사야.
그래서 정부도 꾸준히 관리해야 한다고 생각해.
부동산시장은 사람들의 불안심리에 영향을 주니까 말이야.
글쿠나. 그래서 안정적인 시장을 유지해야 하는 거구나.
그렇지. 그래야 사람들이 더 편하게 집을 구할 수 있어.
부동산시장은 정책 요인도 중요하다고 하더라.
정부의 규제와 개발 기대감이 영향을 미치는 거지?
맞아. 그래서 규제 완화로 상승세로 전환되는 지역도 있었던 거야.
규제 완화로 집값이 오르면 좋겠다.
하지만 너무 급격한 상승은 좋지 않아.
홍남기 경제부총리도 하향 안정세 흐름 속에 관리되도록 해야 한다고 했어.
부동산시장은 항상 변동이 있으니까 주의해야 해.
ㅇㅇ 안정적인 시장을 유지하는 게 중요하겠네.
맞아. 부동산시장은 우리 모두에게 영향을 미치는 거니까 말이야."
1827,경제 및 사회,현대자동차,"현대자동차가 인도네시아 MPV 시장에 도전장을 내밀었어!
와 렬루다가? 그럼 어떤 차종으로 도전하는 거야?
소형 MPV 모델 '스타게이저'를 내세워 토요타 '아반자'를 제치고 1위를 차지하려고 해!
아반자가 현지 MPV 시장에서 1위 모델이었던 거지? 대체 얼마나 오랫동안 인기를 얻었던 거야?
지난 2003년 출시 이후 약 20년간 꾸준한 인기를 얻었어. 누적 판매량은 100만여 대로 현지에서 가장 많이 판매된 MPV 모델이야.
와우내 그렇게 인기가 많았다니 레게노네. 그럼 현대차는 어떤 차종들을 경쟁 대상으로 봄?
현대차는 아반자와 함께 미쯔비시 엑스팬더, 스즈키 에르티, 혼다 모빌리오, 닛산 리비나 등도 경쟁 대상으로 봤대.
그렇구나. 그럼 현대차는 어떤 전략을 세웠어?
현대차는 스타게이저 경쟁 모델로 아반자를 지목하고 MPV 시장 경쟁 전략을 수립하고 있대.
그럼 현대차는 이미 승리가 확정된 거야?
그동안 현대차가 현지 시장에서 증명한 성과들을 본다면 이미 답은 정해져 있다고 볼 수 있어.
그렇구나. 그럼 경쟁력 확보를 위해 어떤 보증 서비스를 준비했어?
현대차는 경쟁력 확보 차원에서 다양한 보증 서비스를 준비했대.
글쿠나. 현대차가 인도네시아 MPV 시장에서 성공할 수 있기를 힘!
고마워! 현대차가 인도네시아 MPV 시장에서 1위를 차지할 수 있도록 노력할게!
ㅎㅇㅌ!"
2022,경제 및 사회,부동산,"레알루다가 부동산 투자가 잘되면 집을 살 수 있을까?
ㅇㅇ 잘되면 살 수 있지! 부동산은 항상 오르니까
그럼 내가 월급쟁이라서 돈을 많이 모을 수 없는데 어떻게 해야하지?
ㅋㅋㅋㅋ 부동산은 돈을 많이 모으지 않아도 가능해! 차근차근 준비하면 돼
그렇구나. 그럼 어떤 식으로 준비해야해?
먼저 돈을 모으는 거야. 저축하면서 부동산시장을 공부해보는 것도 좋아!
부동산시장을 어떻게 공부하지?
인터넷에서 정보를 찾아보면 돼! 많이 찾아보면서 경향을 파악해야 해
그렇구나. 그럼 얼마나 오래 준비해야할까?
시장 상황에 따라 다르지만, 보통 10년 정도 준비해야 집을 살 수 있어
10년이나 걸리다니 좀 힘들겠는걸?
ㅠㅠ 힘들긴 하지만, 그동안에 돈을 모으고 경험도 쌓을 수 있어!
그렇구나. 그럼 부동산 투자를 시작해봐야겠어!
그래! 부동산 투자는 경제적 자유를 위한 좋은 선택이야
부동산시장이 폭락할까봐 걱정되기도 하지만...
현명하게 준비하고 투자하면 걱정 안 해도 돼! 힘!"
